Référence,Description
U6.3,"A sign combination this panel is a part of, takes effect after a right turn in the intersection ahead"
U6.4,"A sign combination this panel is a part of, takes effect after a right turn in the intersection ahead"
U7,Bicycles and small mopeds may make right turn when traffic signal is red.
UA41,Recommended speed in curves
UA43,Width limit
UA72,Watch out for trains
UA73,Overhead electricity lines at level crossing
UA99,Accident-prone intersection
UC33,Limited parking
UC56,Built up area subpanel
UC57,End of local speed limit subpanel
UC61,No stopping subpanel
UC62,No parking subpanel
UD1,Subpanel which points to lane or path
UE34,Fire extinguisher and emergency phone
US1,Car (not above 3.5 ton registered weight
US10,Motorcycle or large moped
US11,Tractor or motorized equipment
US12,Disabled
US13,Light rail
US2,Heavy goods vehicle with or without a trailer
US3,"Bus (above 3.5 ton registered weight, or is allowed to carry more than 8 passengers"
US4,Heavy goods vehicle with trailer
US5,Trailer
US6,Caravan
US7,Motorhome
US8,Bicycle or small moped
US9,Small moped
UA43.1,Narrow road
UB11.1,Stop ahead
UC60.1,Restriction applies before and after sign
UD21.1,Two-way cycle traffic
UE33.1,Before and after sign
UB11.2,Two-way cycle track or lane crossing
UC60.2,Restriction begins at sign
UD21.2,End of Two-way cycle traffic
UE33.2,After sign
UB11.3,Light rail crossing
UC60.3,Restriction ends at sign
UE33.3,Before sign
UC60.5,No stopping on shoulder
UC60.6,No parking on shoulder
UC60.7,Parking on shoulder allowed
UC60.8,Parking partly on sidewalk allowed
